activity_code,activity_text,automation_score,augmentation_score,ai_exposure_score
110101,Eating and drinking,0.05,0.05,0.05
110199,"Eating and drinking, n.e.c.*",0.05,0.05,0.05
110281,Waiting associated w/eating & drinking,0.05,0.05,0.05
110289,"Waiting associated with eating & drinking, n.e.c.*",0.05,0.05,0.05
119999,"Eating and drinking, n.e.c.*",0.05,0.05,0.05
120101,Socializing and communicating with others,0.05,0.05,0.05
120199,"Socializing and communicating, n.e.c.*",0.05,0.05,0.05
120201,Attending or hosting parties/receptions/ceremonies,0.05,0.05,0.05
120202,Attending meetings for personal interest (not volunteering),0.05,0.05,0.05
120299,"Attending/hosting social events, n.e.c.*",0.05,0.05,0.05
120301,"Relaxing, thinking",0.05,0.05,0.05
120302,Tobacco and drug use,0.05,0.05,0.05
120303,Television and movies (not religious),0.05,0.05,0.05
120304,Television (religious),0.05,0.05,0.05
120305,Listening to the radio,0.05,0.05,0.05
120306,Listening to/playing music (not radio),0.05,0.05,0.05
120307,Playing games,0.05,0.05,0.05
120308,Computer use for leisure (exc. Games),0.45,0.6,0.532
120309,Arts and crafts as a hobby,0.05,0.05,0.05
120310,Collecting as a hobby,0.05,0.05,0.05
120311,"Hobbies, except arts & crafts and collecting",0.05,0.05,0.05
120312,Reading for personal interest,0.05,0.05,0.05
120313,Writing for personal interest,0.05,0.05,0.05
120399,"Relaxing and leisure, n.e.c.*",0.05,0.05,0.05
120401,Attending performing arts,0.05,0.05,0.05
120402,Attending museums,0.05,0.05,0.05
120403,Attending movies/film,0.05,0.05,0.05
120404,Attending gambling establishments,0.05,0.05,0.05
120405,Security procedures rel. to arts & entertainment,0.05,0.05,0.05
120499,"Arts and entertainment, n.e.c.*",0.05,0.05,0.05
120501,Waiting assoc. w/socializing & communicating,0.05,0.05,0.05
120502,Waiting assoc. w/attending/hosting social events,0.05,0.05,0.05
120503,Waiting associated with relaxing/leisure,0.05,0.05,0.05
120504,Waiting associated with arts & entertainment,0.05,0.05,0.05
120599,"Waiting associated with socializing, n.e.c.*",0.05,0.05,0.05
129999,"Socializing, relaxing, and leisure, n.e.c.*",0.05,0.05,0.05
130101,Doing aerobics,0.05,0.05,0.05
130102,Playing baseball,0.05,0.05,0.05
130103,Playing basketball,0.05,0.05,0.05
