activity_code,activity_text,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,participation_rate_unweighted_pp_post,participation_rate_unweighted_pp_pre,participation_rate_weighted_pp_post,participation_rate_weighted_pp_pre,positive_respondents_post,positive_respondents_pre,respondents_total_post,respondents_total_pre,weighted_participation_change_pp,unweighted_participation_change_pp
040101,Physical care for nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.932189179916125,0.975089051930226,0.881199689930925,0.900021471305714,75.5,90.6,8108.5,9294.8,-0.01882178137478896,-0.04289987201410095
040102,Reading to/with nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.143250027930905,0.180427938032486,0.11377665072735998,0.146718558020316,11.5,16.6,8108.5,9294.8,-0.03294190729295601,-0.037177910101581
040103,"Playing with nonhh children, not sports",0.05,-0.4785288964455661,0.05,0.05,1.09950692714038,1.202048914056898,0.898139229154105,1.121139473624934,89.0,112.0,8108.5,9294.8,-0.223000244470829,-0.10254198691651806
040104,Arts and crafts with nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.04813543858668,0.054533796138916,0.036538228153115,0.045903045949492,4.0,5.0,8108.5,9294.8,-0.009364817796377004,-0.006398357552236
040105,Playing sports with nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.070862291123005,0.058549641575478,0.0508371062796552,0.05802174677042153,6.0,5.4,8108.5,9294.8,-0.0071846404907663294,0.012312649547527005
040108,Organization & planning for nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.102120198652075,0.127356354053354,0.09240200231995001,0.091693285222504,8.5,12.0,8108.5,9294.8,0.0007087170974460072,-0.025236155401278992
040109,Looking after nonhh children (as primary activity),0.05,-0.4785288964455661,0.05,0.05,0.430235938243365,0.626839325368468,0.340959035447295,0.5609955547235981,35.0,58.6,8108.5,9294.8,-0.22003651927630308,-0.196603387125103
040110,Attending nonhh children's events,0.05,-0.4785288964455661,0.05,0.05,0.43474439296505507,0.29585258071453197,0.30860435496492,0.22163903437487198,35.5,27.2,8108.5,9294.8,0.08696532059004802,0.1388918122505231
040111,Waiting for/with nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.327445306212775,0.317950812542048,0.35964812583693495,0.379175495918198,26.5,29.6,8108.5,9294.8,-0.01952737008126304,0.009494493670727022
040112,Dropping off/picking up nonhh children,0.05,-0.4785288964455661,0.05,0.05,1.195593225385875,1.480028505483872,1.204336582820145,1.460737232314468,97.5,138.4,8108.5,9294.8,-0.25640064949432295,-0.284435280097997
040186,Talking with/listening to nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.45296279077969004,0.360779715576546,0.39738798985117,0.295404272248574,37.0,34.0,8108.5,9294.8,0.101983717602596,0.09218307520314406
040199,"Caring for and helping nonhh children, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.07939334611575,0.072353151045972,0.054668936222255,0.06639645290963185,6.5,6.6,8108.5,9294.8,-0.01172751668737685,0.007040195069778002
040201,Homework (nonhh children),0.05,-0.4785288964455661,0.05,0.05,0.05532562682240501,0.107439455113682,0.060757406533575,0.127024811143192,4.5,10.2,8108.5,9294.8,-0.066267404609617,-0.05211382829127699
040202,Meetings and school conferences (nonhh children),0.05,-0.4785288964455661,0.05,0.05,0.005849321478705,0.008619203672169819,0.005298324301585,0.02152809442396742,0.5,0.8,8108.5,9294.8,-0.01622977012238242,-0.0027698821934648184
040203,Home schooling of nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.01236907633592,0.013102276067385819,0.01143680030215,0.01901294105104983,1.0,1.2,8108.5,9294.8,-0.00757614074889983,-0.0007331997314658188
040204,Waiting associated with nonhh children's education,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,8108.5,9294.8,0.0,0.0
040299,"Activities related to nonhh child's educ., n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.01821839781463,0.008957647269333818,0.00830713361887563,0.006656408707734795,1.5,0.8,8108.5,9294.8,0.0016507249111408356,0.009260750545296181
040301,Providing medical care to nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.024738152671845003,0.025436953059678004,0.027433587140435,0.017841616536200013,2.0,2.4,8108.5,9294.8,0.009591970604234987,-0.0006988003878330012
040302,Obtaining medical care for nonhh children,0.05,-0.4785288964455661,0.05,0.05,0.006519754857215,0.01303348427253,0.0030928174394698146,0.013134028174761647,0.5,1.2,8108.5,9294.8,-0.010041210735291833,-0.006513729415315
