activity_code,activity_text,period,participation_rate_weighted_pp,participation_rate_unweighted_pp,positive_respondents,respondents_total,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,post_2023plus,ai_exposure_x_post,ai_exposure_z_x_post
020904,HH & personal e-mail and messages,pre,4.927759452780895,5.294716818771128,491.2,9294.8,0.628,2.833324461652128,0.6,0.65,0.0,0.0,0.0
020905,Home security,post,0.877492020738845,1.13844087735581,92.5,8108.5,0.628,2.833324461652128,0.6,0.65,1.0,0.628,2.833324461652128
020905,Home security,pre,1.22534788972556,1.321477288467682,123.2,9294.8,0.628,2.833324461652128,0.6,0.65,0.0,0.0,0.0
020999,"Household management, n.e.c.*",post,0.023424462848457603,0.031928340907570005,2.5,8108.5,0.628,2.833324461652128,0.6,0.65,1.0,0.628,2.833324461652128
020999,"Household management, n.e.c.*",pre,0.034760205834412,0.041612425832348,4.0,9294.8,0.628,2.833324461652128,0.6,0.65,0.0,0.0,0.0
029999,"Household activities, n.e.c.*",post,0.076983118546815,0.10547236554462,8.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
029999,"Household activities, n.e.c.*",pre,0.21784828371302,0.206218775729374,19.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030101,Physical care for hh children,post,12.246236290160615,11.83165800752508,957.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030101,Physical care for hh children,pre,12.993850009171046,15.376646663690797,1439.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030102,Reading to/with hh children,post,2.009744089194915,2.265367690682075,183.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030102,Reading to/with hh children,pre,2.625621244644488,3.418167317580648,319.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030103,"Playing with hh children, not sports",post,4.8398114520443904,4.751552034203176,384.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030103,"Playing with hh children, not sports",pre,5.064216052147733,6.161058563651197,575.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030104,Arts and crafts with hh children,post,0.23294430828747,0.19004459976057497,15.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030104,Arts and crafts with hh children,pre,0.121438460012622,0.18083498107045598,17.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030105,Playing sports with hh children,post,0.361287416179615,0.359373647120355,29.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030105,Playing sports with hh children,pre,0.332491754028588,0.43204708212709,40.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030108,Organization & planning for hh children,post,1.10939180478925,1.0115825260318752,82.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030108,Organization & planning for hh children,pre,0.944570001600494,1.112093924445734,104.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030109,Looking after hh children (as a primary activity),post,1.451298735994065,1.508842734055075,122.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030109,Looking after hh children (as a primary activity),pre,2.075160998717582,2.514495724794228,238.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030110,Attending hh children's events,post,1.349938537982025,1.2790091717726848,104.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030110,Attending hh children's events,pre,1.0952760157089059,1.44786197077007,135.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030111,Waiting for/with hh children,post,1.591887881273685,1.17506225191295,95.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030111,Waiting for/with hh children,pre,1.9757349834515943,1.842104470174218,172.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030112,Picking up/dropping off hh children,post,6.962779522160815,5.3021265689132555,429.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030112,Picking up/dropping off hh children,pre,7.289465869034967,6.980524349427007,655.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030186,Talking with/listening to hh children,post,2.0343952543308,1.8075272873249548,147.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030186,Talking with/listening to hh children,pre,2.574626088796466,2.8196105832326976,264.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
030199,"Caring for & helping hh children, n.e.c.*",post,0.182124515415445,0.148428916031105,12.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
030199,"Caring for & helping hh children, n.e.c.*",pre,0.143809423882572,0.18520839917709,17.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
