activity_code,activity_text,year,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total,automation_score,automation_score_z,augmentation_score,ai_exposure_score,post_2023plus,automation_x_post,automation_z_x_post
050302,Income-generating performances,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050303,Income-generating services,2017,0.44441114680835386,27,314360362.563551,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050304,Income-generating rental property activities,2017,0.07154478462951881,4,33486065.588981,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050389,"Other income-generating activities, n.e.c.*",2017,0.8944521563389906,55,487760561.10789,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050403,Job interviewing,2017,0.15381663615936977,9,147134537.41578698,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050404,Waiting associated with job search or interview,2017,0.02383254933993528,3,37388395.849534005,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050405,Security procedures rel. to job search/interviewing,2017,0.0011745953836976516,1,11112794.832549,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050481,Job search activities,2017,1.7894744657795894,73,861340821.979414,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
050499,"Job search and Interviewing, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
059999,"Work and work-related activities, n.e.c.*",2017,0.0016694091116857962,1,5264735.189449,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060101,"Taking class for degree, certification, or licensure",2017,14.65381413797483,198,4538697747.5204315,10223,0.45,2.222290266785846,0.6,0.532,0.0,0.0,0.0
060102,Taking class for personal interest,2017,0.34859640091019717,28,223376901.70205298,10223,0.2,0.5483876016605409,0.55,0.393,0.0,0.0,0.0
060103,Waiting associated with taking classes,2017,0.06691333475284904,17,387337211.072206,10223,0.2,0.5483876016605409,0.55,0.393,0.0,0.0,0.0
060104,Security procedures rel. to taking classes,2017,0.0,0,0.0,10223,0.2,0.5483876016605409,0.55,0.393,0.0,0.0,0.0
060199,"Taking class, n.e.c.*",2017,0.3729908524400164,9,204562220.73418298,10223,0.2,0.5483876016605409,0.55,0.393,0.0,0.0,0.0
060201,Extracurricular club activities,2017,0.08223211014515727,4,80865643.216636,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060202,Extracurricular music & performance activities,2017,0.1269477242039507,6,103634026.97687,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060203,Extracurricular student government activities,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060289,"Education-related extracurricular activities, n.e.c.*",2017,0.03311949244369064,5,47868234.213028,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060301,"Research/homework for class for degree, certification, or licensure",2017,9.89791676240943,346,5253474391.91337,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
060302,Research/homework for class for pers. interest,2017,0.26595881151318673,14,197343750.348392,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
060303,Waiting associated with research/homework,2017,0.0,0,0.0,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
060399,Research/homework n.e.c.*,2017,0.5009411462136659,10,218027296.55763602,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
060401,"Administrative activities: class for degree, certification, or licensure",2017,0.3597611995640771,5,215084739.654176,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060402,Administrative activities: class for personal interest,2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060403,Waiting associated w/admin. activities (education),2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
060499,"Administrative for education, n.e.c.*",2017,0.059814322932682344,4,73571356.744531,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
069999,"Education, n.e.c.*",2017,0.41327019643534657,25,390210758.747806,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
070101,Grocery shopping,2017,6.448076670630405,1564,12942123988.118578,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070102,Purchasing gas,2017,0.3598002385351167,346,3453078302.7581787,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070103,Purchasing food (not groceries),2017,1.5537910563744348,1414,13573655431.13031,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070104,"Shopping, except groceries, food and gas",2017,12.251270666171058,2193,18664156909.254787,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070105,Waiting associated with shopping,2017,0.14216433978827972,74,738152818.206564,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070199,"Shopping, n.e.c.*",2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070201,Comparison shopping,2017,0.07325960602575896,12,93309125.338241,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070299,"Researching purchases, n.e.c.*",2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070301,Security procedures rel. to consumer purchases,2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
070399,"Security procedures rel. to consumer purchases, n.e.c.*",2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
079999,"Consumer purchases, n.e.c.*",2017,0.0,0,0.0,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
080101,Using paid childcare services,2017,0.017002285570882354,13,102885915.480194,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080102,Waiting associated w/purchasing childcare svcs,2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080199,"Using paid childcare services, n.e.c.*",2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080201,Banking,2017,0.2903989504846155,173,1624015469.0703099,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080202,Using other financial services,2017,0.07878131148723856,10,99398817.39017999,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080203,Waiting associated w/banking/financial services,2017,0.0041405200507643155,3,20303028.253941,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080299,"Using financial services and banking, n.e.c.*",2017,0.0,0,0.0,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080301,Using legal services,2017,0.058049969644706725,2,91534698.054426,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080302,Waiting associated with legal services,2017,0.015760756928498317,1,87712836.658954,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080399,"Using legal services, n.e.c.*",2017,0.0,0,0.0,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
080401,Using health and care services outside the home,2017,2.618017518849569,294,3359446441.1435804,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080402,Using in-home health and care services,2017,0.05040665337336727,12,90941337.997906,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080403,Waiting associated with medical services,2017,0.4913230304575883,104,1231886152.198618,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080499,"Using medical services, n.e.c.*",2017,0.004341035469282537,3,19992727.370137002,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
080501,Using personal care services,2017,0.8851554277074037,156,1302513820.572633,10223,0.25,0.8831681346856018,0.35,0.305,0.0,0.0,0.0
